MomID,Pop,X,Y
12A_2013,12,288568,972083
12C_2013,12,288568,972076
12E_2013,12,288568,972071
15A_2013,15,277170,971825
15B_2013,15,277181,971820
16A_2013,16,276582,972008
16B_2013,16,276583,972000
16C_2013,16,276595,972009
16D_2013,16,276591,972013
19C_2013,19,284927,972261
19D_2013,19,284922,972261
19E_2013,19,284911,972280
22D_2013,22,283295,973779
22E_2013,22,283284,973790
23A_2013,23,282610,973539
23B_2013,23,282592,973512
23D_2013,23,282580,973512
24B_2013,24,282034,972319
24C_2013,24,282011,972306
24D_2013,24,282020,972312
27A_2013,27,284203,962209
27C_2013,27,284203,962207
27D_2013,27,284203,962185
27E_2013,27,284201,962181
28B_2013,28,281959,966177
28D_2013,28,281956,966175
28E_2013,28,281951,966172
29A_2013,29,281733,966118
29C_2013,29,281689,966175
29D_2013,29,281682,966188
29E_2013,29,281699,966182
32C_2013,32,281344,971550
32D_2013,32,281343,971547
32E_2013,32,281336,971543
33B_2013,33,284085,971777
33D_2013,33,284096,971893
35A_2013,35,279517,971859
35B_2013,35,279528,971856
35C_2013,35,279489,971851
35D_2013,35,279493,971844
35E_2013,35,279498,971865
36A_2013,36,288725,966544
36B_2013,36,288711,966531
36C_2013,36,288688,966484
36D_2013,36,288689,966483
37A_2013,37,291832,977377
37B_2013,37,291808,977396
37C_2013,37,291808,977397
38A_2013,38,291700,977327
38B_2013,38,291702,977323
39B_2013,39,288573,976238
39C_2013,39,288584,976288
39D_2013,39,288553,976288
39E_2013,39,288533,976294
49B_2013,49,285570,975990
49D_2013,49,285570,976013
49E_2013,49,285549,976028
50A_2013,50,288600,969310
50C_2013,50,288600,969330
50E_2013,50,288622,969314
52A_2013,52,280045,971821
52B_2013,52,280032,971806
52C_2013,52,280026,971828
52D_2013,52,280024,971849
52E_2013,52,280046,971853
55A_2013,55,280617,971850
55B_2013,55,280617,971853
55D_2013,55,280603,971887
55E_2013,55,280609,971908
58A_2013,58,282836,967283
58B_2013,58,282844,967278
58C_2013,58,282844,967272
58D_2013,58,282845,967278
58E_2013,58,282848,967301
59A_2013,59,286724,963553
59B_2013,59,286733,963579
59C_2013,59,286751,963562
59D_2013,59,286801,963591
60A_2013,60,285969,963513
60B_2013,60,285970,963511
60C_2013,60,285966,963522
60D_2013,60,285959,963527
63A_2013,63,283975,962273
63B_2013,63,283983,962269
63C_2013,63,283977,962275
63D_2013,63,283998,962278
63E_2013,63,283996,962279
10A_2016,10,283887,969060
10B_2016,10,283880,969081
10C_2016,10,283866,969082
10D_2016,10,283850,969072
10E_2016,10,283829,969083
12A_2016,12,288256,972126
12C_2016,12,288257,972122
12D_2016,12,288286,972136
12E_2016,12,288297,972157
16A_2016,16,276592,972004
16B_2016,16,276592,972005
16C_2016,16,276601,972010
16E_2016,16,276604,971998
24A_2016,24,282030,972310
24B_2016,24,282047,972302
24C_2016,24,282020,972310
24D_2016,24,282017,972300
24E_2016,24,282011,972316
27A_2016,27,284192,962204
27B_2016,27,284194,962186
27D_2016,27,284190,962185
27E_2016,27,284210,962225
28B_2016,28,281964,966177
28C_2016,28,282017,966137
28D_2016,28,282017,966143
28E_2016,28,282017,966144
29A_2016,29,281697,966176
29B_2016,29,281702,966231
29C_2016,29,281702,966232
29D_2016,29,281713,966212
29E_2016,29,281726,966212
31A_2016,31,277512,971980
31B_2016,31,277532,971976
31D_2016,31,277536,971972
31E_2016,31,277545,971969
32A_2016,32,281350,971555
32B_2016,32,281363,971548
32C_2016,32,281355,971531
32D_2016,32,281347,971537
32E_2016,32,281364,971559
35C_2016,35,279495,971881
35D_2016,35,279495,971882
36A_2016,36,288701,966529
36B_2016,36,288709,966497
36C_2016,36,288700,966510
36E_2016,36,288694,966484
39B_2016,39,288567,976280
39C_2016,39,288537,976288
40A_2016,40,287059,976791
40B_2016,40,287065,976789
40C_2016,40,287083,976794
40D_2016,40,287073,976793
40E_2016,40,287099,976814
50A_2016,50,288595,969364
50B_2016,50,288604,969355
50D_2016,50,288626,969215
50E_2016,50,288638,969208
56A_2016,56,283243,963788
56B_2016,56,283241,963787
56C_2016,56,283255,963799
58A_2016,58,282824,967268
58B_2016,58,282824,967269
58D_2016,58,282826,967299
58E_2016,58,282820,967308
62A_2016,62,284139,962091
62C_2016,62,284131,962085
62E_2016,62,284119,962094
63A_2016,63,283993,962273
63B_2016,63,283951,962314
63C_2016,63,283930,962308
63E_2016,63,284011,962295